siret,adresse,"Intitulés de la  NAF rév. 2, version finale"
26590745100016,322 RUE DU DOCTEUR HENRI VANUXEEM NIEPPE 59850,Hébergement médicalisé pour personnes âgées
21420187300525,142 RUE DE CHARLIEU ROANNE 42300,Enseignement primaire
21260157900049,PLACE DE LA LIBERATION LA LAUPIE 26740 MAIRIE,Administration publique générale
21860065800015,4 RUE DE LA MAIRIE CHATEAU-LARCHER 86370,Administration publique générale
20005536600062,RUE RAVIEUX SAINT GENIEZ D'OLT ET D'AUBRAC 12130,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
03915183200019,49 AVENUE DANIELLE CASANOVA IVRY-SUR-SEINE 94200,Activités combinées de soutien lié aux bâtiments
26910046700043,1 RUE DU DOCTEUR FRANCOIS DRAVEIL 91210,Autres activités des médecins spécialistes
26670058200072,24 ROUTE DE WEILER WISSEMBOURG 67160,Supports juridiques de gestion de patrimoine mobilier
26800003100057,3 RUE DU 8 MAI 1945 ALBERT 80300,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
26850085700118,2 RUE JEAN-FRANCOIS CHAMPOLLION LA ROCHE-SUR-YON 85000,Action sociale sans hébergement n.c.a.
21710270600363,381 RUE VREMONTOISE MACON 71000 SENNECE,Enseignement primaire
21240299400017,80 RUE DE LA LIBERATION MUSSIDAN 24400,Administration publique générale
21440217400046,9 RUE G HERSART DE LA VILLEMARQUE VIGNEUX-DE-BRETAGNE 44360,Collecte et traitement des eaux usées
30270067900012,LE PUY-NOTRE-DAME 49260,Activités de clubs de sports
21630113500622,14 RUE ALBERT MALLET CLERMONT-FERRAND 63000,Enseignement primaire
18340008400368,24 COURS LAZARE ESCARGUEL PERPIGNAN 66000,Autres hébergements
21770390900143,RUE JULES FERRY ROISSY-EN-BRIE 77680,Enseignement pré-primaire
21720188800013,LE BOURG MAROLLETTE 72600,Administration publique générale
25100185500013,31 GRANDE RUE LA VENDUE-MIGNOT 10800 MAIRIE,Administration publique générale
21670028600059,RUE DE BARR BENFELD 67230,Enseignement primaire
21590139800085,16 RUE PIERRE BROSSOLETTE CAUDRY 59540,Enseignement pré-primaire
18680380500016,ASPACH 68130,Activités des organisations religieuses
21930029000588,11 RUE DE LA VILLETTE DRANCY 93700 11/15,Enseignement primaire
19810030700018,3 PLACE DE LA RESISTANCE LAVAUR 81500,Enseignement secondaire général
02404423200015,PL DE LA MAIRIE DEMBENI 97660,"Ingénierie, études techniques"
03902204100014,5 RUE D'ARGENSON PARIS 75008,Activités combinées de soutien lié aux bâtiments
21420238400076,LE BOURG SAINT-JEAN-LA-VETRE 42440,Construction d'autres ouvrages de génie civil n.c.a.
21550170100019,5 RUE DE LA CHAUSSEE ECUREY-EN-VERDUNOIS 55150,Administration publique générale
30194064900025,5 ROUTE DE CHAILLAND SAINT-HILAIRE-DU-MAINE 53380 LE PETIT COURGET,Location et location-bail de machines et équipements agricoles
25360981200016,LE BOURG MARON 36120 MAIRIE,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
03897564500011,25 RUE DOUDEAUVILLE PARIS 75018,Activités combinées de soutien lié aux bâtiments
22280001300732,ZI ST ARNOULT CHATEAUNEUF-EN-THYMERAIS 28170,Administration publique (tutelle) des activités économiques
19381903400011,ALL JEAN VILAR ECHIROLLES 38130,Enseignement secondaire général
03894879000019,7 RUE AUGUSTE CONSTANT ERNOULT FONTENAY AUX ROSES 92260,Activités combinées de soutien lié aux bâtiments
02405048600018,2 VEN ISSA AMISSI CHICONI 97670 CHICONI,Construction de maisons individuelles
21630121800014,18 AVENUE JEAN JAURES COUDES 63114,Administration publique générale
26660002200138,RUE VELASQUEZ PERPIGNAN 66000,Enseignement supérieur
25872856700011,1 RUE DES FONTAINES CHAMPSAC 87230,Autres activités récréatives et de loisirs
25300309900020,32 PLACE DES ECOLES FONS-SUR-LUSSAN 30580 MAIRIE,Administration publique générale
30207716902783,59 AVENUE DE LA MER SIX-FOURS-LES-PLAGES 83140,Services funéraires
26890503100012,MAIRIE AISY-SUR-ARMANCON 89390,Action sociale sans hébergement n.c.a.
21610241800037,RUE DE LA GROTTE LA MADELEINE-BOUVET 61110 MAIRIE,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
21640161200017,124 RUE DES CAGOTS CAME 64520,Administration publique générale
21190310900547,26 AVENUE GUYNEMER BRIVE-LA-GAILLARDE 19100,Enseignement primaire
05480242600012,15 AV MAL FOCH MARSEILLE 4EME 13004,Location de terrains et d'autres biens immobiliers
21800358000071,12 RUE DE LA TANNERIE GAMACHES 80220,Enseignement pré-primaire
26330582300035,PLACE AMELIE RABA LEON BORDEAUX 33000,Activités hospitalières
04206761100014,11 RUE DE LA REPUBLIQUE GRENOBLE 38000 11 A 15,Activités combinées de soutien lié aux bâtiments
21470028800027,AU BOURG BIRAC-SUR-TREC 47200 AU BOURG,Enseignement primaire
21440143200387,ALLEE DE TOURAINE REZE 44400,Activité des médecins généralistes
